Region,Max T,Avg Max T (10 largest),Min T,Avg T,Voltage,Current,Power,Area Fraction,Pixel Count
reg1,61.079,60.929,57.515,59.446,9.620,1.400,13.468,0.111,378
reg2,61.307,61.271,58.904,60.309,9.620,1.400,13.468,0.111,459
reg3,59.622,59.464,54.043,57.171,9.620,1.400,13.468,0.111,432
reg4,55.255,55.065,47.523,51.467,9.620,1.400,13.468,0.111,461
reg5,48.150,47.876,39.411,43.797,9.620,1.400,13.468,0.111,420
reg6,39.751,39.527,31.569,35.838,9.620,1.400,13.468,0.111,308
main,61.307,61.283,29.443,51.354,9.620,1.400,13.468,1.000,6764
