Region,Max T,Avg Max T (10 largest),Min T, Avg T, Voltage, Current, Power
tube,5.412,5.357,5.085,5.256,0.150,0.500,0.075
sLDOs,7.516,7.465,6.105,6.842,0.150,0.500,0.075
