Region,Max T,Avg Max T (10 largest),Min T, Avg T, Voltage, Current, Power
tube,6.861,6.549,6.064,6.359,1.150,4.000,4.600
sLDOs,82.211,69.011,11.767,21.701,1.150,4.000,4.600
