Region,Max T,Avg Max T (10 largest),Min T, Avg T, Voltage, Current, Power
tube,6.091,6.045,5.531,5.920,0.440,1.500,0.660
sLDOs,14.329,13.739,7.421,9.474,0.440,1.500,0.660
