Region,Max T,Avg Max T (10 largest),Min T, Avg T, Voltage, Current, Power
tube,6.498,5.989,5.544,5.816,0.720,2.500,1.800
sLDOs,29.528,26.881,8.651,12.964,0.720,2.500,1.800
