Region,Max T,Avg Max T (10 largest),Min T, Avg T, Voltage, Current, Power
tube,6.450,6.380,5.988,6.226,0.130,0.500,0.065
sLDOs,8.294,8.236,7.039,7.702,0.130,0.500,0.065
