Region,Max T,Avg Max T (10 largest),Min T, Avg T, Voltage, Current, Power
tube,6.841,6.718,6.326,6.587,0.670,2.500,1.675
sLDOs,29.768,27.525,8.832,12.830,0.670,2.500,1.675
