Region,Max T,Avg Max T (10 largest),Min T, Avg T, Voltage, Current, Power
tube,6.029,5.991,5.593,5.835,0.390,1.500,0.585
sLDOs,14.576,13.590,7.237,8.835,0.390,1.500,0.585
