Region,Max T,Avg Max T (10 largest),Min T, Avg T, Voltage, Current, Power
tube,6.560,6.523,6.154,6.368,1.320,4.500,5.940
sLDOs,112.910,94.114,13.089,26.248,1.320,4.500,5.940
