Region,Max T,Avg Max T (10 largest),Min T, Avg T, Voltage, Current, Power
tube,5.856,5.746,5.489,5.628,1.310,4.500,5.895
sLDOs,108.030,93.758,11.539,25.664,1.310,4.500,5.895
