Region,Max T,Avg Max T (10 largest),Min T, Avg T, Voltage, Current, Power
tube,6.223,6.157,5.405,5.975,0.260,1.000,0.260
sLDOs,10.512,10.038,7.094,8.164,0.260,1.000,0.260
