Region,Max T,Avg Max T (10 largest),Min T, Avg T, Voltage, Current, Power
tube,6.622,6.585,6.167,6.443,0.990,3.500,3.465
sLDOs,59.954,51.599,10.676,18.088,0.990,3.500,3.465
