Region,Max T,Avg Max T (10 largest),Min T, Avg T, Voltage, Current, Power
tube,9.066,6.804,5.579,6.354,0.530,2.000,1.060
sLDOs,21.393,19.617,8.052,11.025,0.530,2.000,1.060
