Region,Max T,Avg Max T (10 largest),Min T,Avg T,Voltage,Current,Power,Area Fraction,Pixel Count
reg1,23.167,23.131,22.910,23.041,0.000,0.000,0.000,0.167,170
reg2,23.194,23.142,22.889,23.040,0.000,0.000,0.000,0.167,226
reg3,23.113,23.106,22.900,23.019,0.000,0.000,0.000,0.167,238
reg4,23.085,23.071,22.790,22.985,0.000,0.000,0.000,0.167,242
reg5,23.102,23.069,22.834,22.969,0.000,0.000,0.000,0.167,245
reg6,23.080,23.056,22.828,22.968,0.000,0.000,0.000,0.167,215
main,23.233,23.216,22.445,22.996,0.000,0.000,0.000,1.000,6525
