Region,Max T,Avg Max T (10 largest),Min T, Avg T, Voltage, Current, Power
tube,8.173,7.947,7.686,7.826,0.920,4.000,3.680
sLDOs,20.933,20.742,10.136,14.865,0.920,4.000,3.680
