Region,Max T,Avg Max T (10 largest),Min T, Avg T, Voltage, Current, Power
tube,8.247,8.124,7.604,7.833,1.090,4.500,4.905
sLDOs,24.138,23.929,11.102,17.336,1.090,4.500,4.905
