Region,Max T,Avg Max T (10 largest),Min T, Avg T, Voltage, Current, Power
tube,7.991,7.837,7.530,7.697,0.000,0.000,0.000
sLDOs,9.373,9.316,7.937,8.612,0.000,0.000,0.000
