Region,Max T,Avg Max T (10 largest),Min T, Avg T, Voltage, Current, Power
tube,7.977,7.888,7.625,7.790,0.830,3.000,2.490
sLDOs,15.598,15.516,9.300,12.076,0.830,3.000,2.490
