Region,Max T,Avg Max T (10 largest),Min T, Avg T, Voltage, Current, Power
tube,8.038,7.987,7.713,7.865,0.990,4.000,3.960
sLDOs,21.199,20.999,10.162,14.867,0.990,4.000,3.960
