Region,Max T,Avg Max T (10 largest),Min T, Avg T, Voltage, Current, Power
0.90,7.937,7.892,7.645,7.794,3.500,0.900,3.150
sLDOs,18.143,17.937,9.659,13.574,0.900,3.500,3.150
