Region,Max T,Avg Max T (10 largest),Min T, Avg T, Voltage, Current, Power
tube,7.801,7.730,7.455,7.614,0.100,0.500,0.050
sLDOs,9.373,9.341,7.842,8.577,0.100,0.500,0.050
