Region,Max T,Avg Max T (10 largest),Min T, Avg T, Voltage, Current, Power
tube,8.611,8.257,7.298,7.753,0.410,1.500,0.615
sLDOs,10.938,10.798,8.220,9.593,0.410,1.500,0.615
