Region,Max T,Avg Max T (10 largest),Min T, Avg T, Voltage, Current, Power
tube,8.664,8.445,7.828,8.021,0.000,0.000,0.000
sLDOs,9.659,9.571,8.254,8.940,0.000,0.000,0.000
