Region,Max T,Avg Max T (10 largest),Min T, Avg T, Voltage, Current, Power
tubve,7.876,7.845,7.543,7.699,0.730,3.000,2.190
sLDOs,15.629,15.546,9.120,11.980,0.730,3.000,2.190
