Region,Max T,Avg Max T (10 largest),Min T, Avg T, Voltage, Current, Power
tube,11.533,8.461,7.720,7.951,0.710,2.500,1.775
sLDOs,13.759,13.632,9.053,11.339,0.710,2.500,1.775
