Region,Max T,Avg Max T (10 largest),Min T, Avg T, Voltage, Current, Power
tube,8.139,8.010,7.686,7.854,0.830,3.500,2.905
sLDOs,18.155,18.000,9.606,13.330,0.830,3.500,2.905
