Region,Max T,Avg Max T (10 largest),Min T, Avg T, Voltage, Current, Power
tube,7.727,7.666,7.421,7.575,0.380,2.000,0.760
sLDOs,11.929,11.822,8.328,9.950,0.380,2.000,0.760
