Region,Max T,Avg Max T (10 largest),Min T, Avg T, Voltage, Current, Power
tube,7.720,7.666,7.496,7.597,0.290,1.500,0.435
sLDOs,10.755,10.596,8.106,9.318,0.290,1.500,0.435
