Region,Max T,Avg Max T (10 largest),Min T, Avg T, Voltage, Current, Power
tube,7.849,7.817,7.591,7.738,0.63,2.5,1.575
sLDOs,13.587,13.514,8.799,10.916,0.63,2.5,1.575
