Region,Max T,Avg Max T (10 largest),Min T, Avg T, Voltage, Current, Power
tube,7.991,7.833,7.577,7.711,1.020,4.500,4.590
sLDOs,24.086,23.858,10.650,16.895,1.020,4.500,4.590
