Region,Max T,Avg Max T (10 largest),Min T, Avg T, Voltage, Current, Power
tube,7.977,7.896,7.625,7.788,0.540,2.000,1.080
sLDOs,12.091,12.027,8.510,10.170,0.540,2.000,1.080
