Region,Max T,Avg Max T (10 largest),Min T, Avg T, Voltage, Current, Power
tube,9.513,8.911,7.740,8.069,0.130,0.500,0.065
sLDOs,9.679,9.642,8.180,8.942,0.130,0.500,0.065
