Region,Max T,Avg Max T (10 largest),Min T, Avg T, Voltage, Current, Power
tube,7.943,7.903,7.611,7.783,0.270,1.000,0.270
sLDOs,10.083,10.002,8.126,9.137,0.270,1.000,0.270
