Region,Max T,Avg Max T (10 largest),Min T, Avg T, Voltage, Current, Power
tube,10.479,7.368,6.257,6.693,0.500,2.500,1.250
sLDOs,14.960,14.607,7.801,9.838,0.500,2.500,1.250
LDO1,14.960,14.607,7.801,10.485,0.500,2.500,1.250
LDO2,11.656,11.508,8.241,9.713,0.500,2.500,1.250
LDO3,11.272,11.016,8.288,9.621,0.500,2.500,1.250
LDO4,12.181,11.955,8.416,9.702,0.500,2.500,1.250
LDO5,12.000,11.854,8.725,10.188,0.500,2.500,1.250
LDO6,13.249,12.861,8.812,10.859,0.500,2.500,1.250
