Region,Max T,Avg Max T (10 largest),Min T, Avg T, Voltage, Current, Power
tube,6.909,6.870,6.271,6.702,0.600,3.000,1.800
sLDOs,17.275,17.094,8.321,10.860,0.600,3.000,1.800
LDO1,17.275,17.094,8.443,12.076,0.600,3.000,1.800
LDO2,13.784,13.391,8.872,10.892,0.600,3.000,1.800
LDO3,12.986,12.713,9.006,10.753,0.600,3.000,1.800
LDO4,14.399,13.949,9.086,11.001,0.600,3.000,1.800
LDO5,14.070,13.644,9.266,11.480,0.600,3.000,1.800
LDO6,15.742,15.067,9.306,11.866,0.600,3.000,1.800
