Region,Max T,Avg Max T (10 largest),Min T, Avg T, Voltage, Current, Power
tube,7.373,7.355,7.094,7.236,0.000,0.000,0.000
sLDOs,10.129,9.697,7.503,8.116,0.000,0.000,0.000
LDO1,8.180,8.106,7.503,7.844,0.000,0.000,0.000
LDO2,8.213,8.172,7.530,7.925,0.000,0.000,0.000
LDO3,8.274,8.221,7.530,7.966,0.000,0.000,0.000
LDO4,8.698,8.560,7.761,8.150,0.000,0.000,0.000
LDO5,8.705,8.670,7.801,8.271,0.000,0.000,0.000
LDO6,10.129,9.607,7.883,8.453,0.000,0.000,0.000
