Region,Max T,Avg Max T (10 largest),Min T, Avg T, Voltage, Current, Power
tube,7.176,7.135,6.909,7.035,0.200,1.000,0.200
sLDOs,9.453,9.238,7.489,8.281,0.200,1.000,0.200
sLDOs,9.745,9.489,7.489,8.282,0.200,1.000,0.200
LDO1,8.993,8.908,7.509,8.143,0.200,1.000,0.200
LDO2,8.617,8.459,7.557,8.068,0.200,1.000,0.200
LDO3,8.839,8.699,7.591,8.107,0.200,1.000,0.200
LDO4,8.845,8.794,7.727,8.321,0.200,1.000,0.200
LDO5,8.866,8.821,7.774,8.360,0.200,1.000,0.200
