Region,Max T,Avg Max T (10 largest),Min T, Avg T, Voltage, Current, Power
tube,7.584,7.290,6.916,7.098,0.300,1.500,0.450
sLDOs,10.420,10.328,7.584,8.668,0.300,1.500,0.450
LDO1,10.420,10.323,7.584,8.778,0.300,1.500,0.450
LDO2,9.659,9.314,7.740,8.472,0.300,1.500,0.450
LDO3,9.266,9.178,7.828,8.491,0.300,1.500,0.450
LDO4,9.686,9.543,7.862,8.615,0.300,1.500,0.450
LDO5,9.686,9.654,8.079,8.938,0.300,1.500,0.450
LDO6,10.261,10.067,8.200,9.055,0.300,1.500,0.450
