Region,Max T,Avg Max T (10 largest),Min T, Avg T, Voltage, Current, Power
tube,7.380,7.262,6.628,7.077,1.050,5.000,5.250
sLDOs,35.697,35.403,11.278,17.400,1.050,5.000,5.250
LDO1,35.697,35.403,11.220,20.489,1.050,5.000,5.250
LDO2,29.572,26.572,12.233,17.883,1.050,5.000,5.250
LDO3,24.081,23.239,12.755,17.490,1.050,5.000,5.250
LDO4,27.988,27.023,13.127,17.770,1.050,5.000,5.250
LDO5,25.982,25.080,13.447,18.747,1.050,5.000,5.250
LDO6,30.236,28.447,13.057,20.213,1.050,5.000,5.250
