Region,Max T,Avg Max T (10 largest),Min T, Avg T, Voltage, Current, Power
tube,7.094,7.037,6.491,6.851,0.7,3.5,2.45
sLDOs,21.104,20.798,8.993,12.322,0.7,3.5,2.45
LDO1,21.104,20.798,9.026,13.64,0.7,3.5,2.45
LDO2,15.997,15.628,9.546,12.177,0.7,3.5,2.45
LDO3,15.123,14.721,9.911,12.226,0.7,3.5,2.45
LDO4,16.808,16.346,9.971,12.485,0.7,3.5,2.45
LDO5,16.32,15.944,10.84,13.464,0.7,3.5,2.45
LDO6,18.368,17.642,10.334,13.752,0.7,3.5,2.45
