Region,Max T,Avg Max T (10 largest),Min T, Avg T, Voltage, Current, Power
tube,7.638,7.575,6.93,7.369,0.93,4.5,4.185
sLDOs,30.896,30.279,10.571,16.155,0.93,4.5,4.185
LDO1,30.896,30.279,10.696,18.521,0.93,4.5,4.185
LDO2,25.495,23.139,11.598,16.45,0.93,4.5,4.185
LDO3,21.423,20.552,12.026,15.883,0.93,4.5,4.185
LDO4,24.201,23.453,12.246,15.925,0.93,4.5,4.185
LDO5,22.781,22.016,12.864,17.153,4.5,0.93,4.185
LDO6,26.162,24.845,12.407,17.982,0.93,4.5,4.185
