Region,Max T,Min T, Avg T, Voltage, Current, Power
tube,9.586,7.625,8.095,0.440,1.500,0.660
sLDOs,14.291,9.046,10.580,0.440,1.500,0.660
sLDO_upper,14.291,9.093,10.458,0.440,1.500,0.660
sLDO_lower,14.114,9.166,10.657,0.440,1.500,0.660
whole_module_no_solder,18.979,8.382,10.218,0.440,1.500,0.660
