Region,Max T,Min T, Avg T, Voltage, Current, Power
tube,9.326,7.855,8.341,0.660,2.000,1.320
sLDOs,15.261,10.004,11.931,0.660,2.000,1.320
sLDO_upper,14.991,9.931,11.772,0.660,2.000,1.320
sLDO_lower,15.261,10.123,11.973,0.660,2.000,1.320
whole_module_no_solder,19.832,8.906,11.077,0.660,2.000,1.320
