Region,Max T,Min T, Avg T, Voltage, Current, Power
tube,11.468,8.220,8.749,1.230,4.990,6.138
sLDOs,42.685,14.859,23.285,1.230,4.990,6.138
sLDO_upper,42.685,14.815,21.665,1.230,4.990,6.138
sLDO_lower,42.386,16.078,24.027,1.230,4.990,6.138
whole_module_no_solder,42.685,12.523,18.119,1.230,4.990,6.138
