Region,Max T,Min T, Avg T, Voltage, Current, Power
tube,10.531,7.964,8.386,1.060,3.500,3.710
sLDOs,25.297,12.433,16.409,1.060,3.500,3.710
sLDO_upper,25.155,12.433,15.660,1.060,3.500,3.710
sLDO_lower,25.297,12.691,16.554,1.060,3.500,3.710
whole_module_no_solder,25.297,10.103,13.687,1.060,3.500,3.710
