Region,Max T,Min T, Avg T, Voltage, Current, Power
tube,10.367,7.774,8.383,0.740,2.500,1.850
sLDOs,17.606,10.538,13.082,0.740,2.500,1.850
sLDO_upper,17.361,10.499,12.647,0.740,2.500,1.850
sLDO_lower,17.606,10.670,12.980,0.740,2.500,1.850
whole_module_no_solder,18.252,9.220,11.785,0.740,2.500,1.850
