Region,Max T,Min T, Avg T, Voltage, Current, Power
tube,10.492,7.896,8.387,0.850,3.000,2.550
sLDOs,21.205,11.617,15.024,0.850,3.000,2.550
sLDO_upper,21.075,11.474,14.053,0.850,3.000,2.550
sLDO_lower,21.205,11.708,15.047,0.850,3.000,2.550
whole_module_no_solder,21.205,9.778,12.681,0.850,3.000,2.550
