Region,Max T,Min T, Avg T, Voltage, Current, Power
tube,8.758,7.679,8.051,0.140,0.500,0.070
sLDOs,14.070,8.315,9.287,0.140,0.500,0.070
sLDO_upper,14.070,8.315,9.146,0.140,0.500,0.070
sLDO_lower,13.306,8.564,9.396,0.140,0.500,0.070
whole_module_no_solder,17.777,8.099,9.655,0.140,0.500,0.070
