Region,Max T,Min T, Avg T, Voltage, Current, Power
tube,12.414,7.916,8.512,1.050,3.990,4.190
sLDOs,30.051,13.261,18.043,1.050,3.990,4.190
sLDO_upper,30.051,13.261,17.528,1.050,3.990,4.190
sLDO_lower,30.019,14.127,18.358,1.050,3.990,4.190
whole_module_no_solder,30.051,10.788,14.873,1.050,3.990,4.190
