Region,Max T,Min T, Avg T, Voltage, Current, Power
tube,12.697,7.815,8.482,0.290,1.000,0.290
sLDOs,14.437,8.919,9.736,0.290,1.000,0.290
sLDO_upper,14.437,8.919,9.634,0.290,1.000,0.290
sLDO_lower,13.108,9.166,9.914,0.290,1.000,0.290
whole_module_no_solder,18.483,8.321,9.928,0.290,1.000,0.290
